study,nscond,as1,cs1,rs1,af1,cf1,rf1,as2,cs2,rs2,af2,cf2,rf2,as3,cs3,rs3,af3,cf3,rf3,pre1,pro1,pre2,pro2,pre3,pro3,age,gender,ethnicAsian,ethnicBlack,ethnicHispanic,ethnicMultiethnic,ethnicNativeAm,ethnicNativeHa,ethnicWhite,ethnicOther,nation,language,firslang,state,educ,occupation,occdesc,impressi,distrac,disbywha,howdist,autonomy,competence,relatedness,prevention,promotion,af1r,af2r,af3r,cf1r,cf2r,cf3r,rf1r,rf2r,rf3r,relativepromotion
5,1,2,5,2,7,6,7,2,5,1,7,6,7,3,5,1,7,7,6,6,7,7,5,6,7,26,1, , , , , , ,1, ,usa,english,1,16,8,attorney,1,how people feel in uncomfortable situations,2, , ,1.666666667,3.333333333,1.333333333,6.333333333,6.333333333,1,1,1,2,2,1,1,1,2,0
5,1,1,2,2,7,7,5,1,1,2,1,6,1,2,1,1,2,7,2,6,6,5,6,7,6,22,1,1, , , , , ,1, ,USA,English,1,4,3,Student,11,No impressions.,2, , ,3,1.333333333,3.5,6,6,1,7,6,1,2,1,3,7,6,0
5,1,6,3,1,6,5,7,4,3,1,2,3,5,2,3,1,1,4,4,6,3,6,3,5,3,21,1, , , , , , ,1, ,united states,english,1,42,2,unemployed and looking for work,9,no immpressions,2, , ,4.5,3.5,1.833333333,5.666666667,3,2,6,7,3,5,4,1,3,4,-2.666666667
5,1,2,6,2,7,5,5,3,5,3,6,5,5,2,3,1,5,5,5,6,2,6,2,6,3,31,1, , , , , , ,1, ,usa,english,1,34,4,security,1,how we work under pressure,2, , ,2.166666667,3.833333333,2.5,6,2.333333333,1,2,3,3,3,3,3,3,3,-3.666666667
5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,29, , , ,1, , , , , ,USA,English,1,14,5,Design,1, ,2, , ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
5,1,5,3,5,7,7,6,4,4,4,5,5,2,3,3,4,4,5,3,5,5,6,4,5,5,27,1, , , , , , ,1, ,germany(on US installation),english,1,41,3,charge nurse,2,thoughful.,2, , ,3.333333333,2.833333333,4.333333333,5.333333333,4.666666667,1,3,4,1,3,3,2,6,5,-0.666666667
5,1,6,6,2,5,2,6,4,6,3,2,2,2,6,6,5,2,2,2,6,6,6,6,2,2,24,1, ,1, , , , , , ,US,English,1,4,4,Student,11,very quick,2, , ,5.166666667,6,4,4.666666667,4.666666667,3,6,6,6,6,6,2,6,6,0
5,1,1,5,1,7,7,7,1,4,1,7,7,7,1,1,1,7,1,7,4,3,7,1,5,1,33,2, , ,1, , , , , ,USA,English,1,6,4,fitness instructor,10,It was accesing my personality,2, , ,1,3.166666667,1,5.333333333,1.666666667,1,1,1,1,1,7,1,1,1,-3.666666667
5,1,1,3,1,7,6,3,7,6,3,7,7,4,2,5,3,7,7,7,5,6,5,4,5,4,54,1, , , , , , ,1, ,US,English,1,32,3,Building maintenance,6,I thought it was good.,2, , ,2.166666667,3,2.833333333,5,4.666666667,1,1,1,2,1,1,5,4,1,-0.333333333
5,1,1,1,3,7,7,4,1,1,1,6,4,4,1,1,1,5,7,5,3,3,3,3,7,7,49,1, , , , , , ,1, ,U.S.,English,1,9,5,Sales Manager,5,interesting,2, , ,1.5,1.5,2.666666667,4.333333333,4.333333333,1,2,3,1,4,1,4,4,3,0
5,1,5,5,3,6,3,5,5,5,4,5,3,5,4,5,4,6,5,5,5,5,5,5,5,5,30,1, , , , , , ,1, ,USA,English,1,31,5,manager,1, , ,"not distracted, glitch on screen",1,3.5,4.666666667,3.333333333,5,5,2,3,2,5,5,3,3,3,3,0
5,1,6,6,4,7,4,5,4,5,3,1,3,6,1,5,2,6,4,5,4,4,5,2,5,2,39,1, , , , , , ,1, ,USA,ENGLISH,1,3,3,RETAIL MANAGEMENT,1,INTERESTING,2, , ,3.5,4.833333333,2.833333333,4.666666667,2.666666667,1,7,2,4,5,4,3,2,3,-2
5,1,5,5,5,7,6,7,4,7,5,2,2,1,4,6,5,1,4,2,5,1,6,1,5,5,63,2, , , , , , ,1, ,United States of America,English,1,31,5,child care,10,It was interesting.,2, , ,4.5,5,4.833333333,5.333333333,2.333333333,1,6,7,2,6,4,1,7,6,-3
5,1,4,5,3,7,7,7,1,5,4,6,7,7,4,3,4,6,7,3,7,6,7,6,7,7,67,2, , , , , , ,1, ,United States,English,1,4,3,I worked in accounting,8,"It wasn't difficult, and actually I have never forgotten my disappointment in myself.",2, , ,2.333333333,2.666666667,3,7,6.333333333,1,2,2,1,1,1,1,1,5,-0.666666667
5,1,2,5,2,6,7,7,1,6,2,5,3,6,3,6,3,3,3,4,7,6,6,4,6,5,30,1, , , , , , ,1, ,U.S.,English,1,42,4,risk analyst,1,It hit close to home,2, , ,2.666666667,4.666666667,2.333333333,6.333333333,5,2,3,5,1,5,5,1,2,4,-1.333333333
